au_id,first_growth_selected_path,flagged_bad_curve,has_first_growth_curve,has_managed_curve,runtime_curve_mode,runtime_curve_note
cwh_dm_x_cw_dr,insufficient_source_stands,True,False,True,managed_only,insufficient_source_stands_managed_only
cwh_dm_x_cw_fdc,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_dm_x_cw_hw,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_dm_x_dr_act,,False,False,True,incomplete,
cwh_dm_x_dr_cw,insufficient_source_stands,True,False,True,managed_only,insufficient_source_stands_managed_only
cwh_dm_x_dr_mb,insufficient_source_stands,True,False,True,managed_only,insufficient_source_stands_managed_only
cwh_dm_x_fdc_cw,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_dm_x_fdc_dr,,False,False,True,incomplete,
cwh_dm_x_fdc_hw,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_dm_x_fdc_x,,False,False,True,incomplete,
cwh_dm_x_hw_ba,insufficient_source_stands,True,False,True,managed_only,insufficient_source_stands_managed_only
cwh_dm_x_hw_cw,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_dm_x_hw_fdc,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_vm_1_cw_fdc,,False,False,True,incomplete,
cwh_vm_1_cw_hw,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_vm_1_dr_hw,insufficient_source_stands,True,False,True,managed_only,insufficient_source_stands_managed_only
cwh_vm_1_fdc_cw,insufficient_source_stands,True,False,True,managed_only,insufficient_source_stands_managed_only
cwh_vm_1_fdc_hw,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_vm_1_fdc_x,,False,False,True,incomplete,
cwh_vm_1_hw_ba,,True,False,True,incomplete,
cwh_vm_1_hw_cw,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_vm_1_hw_fdc,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_vm_2_ba_cw,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_vm_2_ba_hw,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_vm_2_cw_fdc,,True,False,True,incomplete,
cwh_vm_2_cw_hw,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_vm_2_fdc_cw,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_vm_2_fdc_hw,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_vm_2_hw_ba,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_vm_2_hw_cw,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
cwh_vm_2_hw_fdc,smoothed_bin_pchip,False,True,True,first_growth_and_managed,
